_id	id_orden	fecha_inicio	fecha_terminado	progreso
5622	3546	2026-01-14 18:01:50	NULL	en curso
5639	3554	NULL	NULL	por iniciar
5643	3555	2026-01-15 14:05:59	2026-01-15 14:24:19	terminada
5647	3559	2026-01-15 18:42:27	2026-01-15 19:43:15	terminada
5650	3560	2026-01-15 15:44:48	2026-01-15 16:14:24	terminada
5659	3551	2026-01-15 14:39:01	2026-01-15 15:14:08	terminada
5663	3565	2026-01-15 15:44:21	2026-01-15 16:16:04	terminada
5667	3558	2026-01-16 19:25:19	2026-01-16 19:32:35	terminada
5673	3568	2026-01-15 20:26:22	2026-01-15 22:10:19	terminada
5682	3575	2026-01-16 20:20:35	2026-01-16 20:21:04	terminada
5685	3571	2026-01-15 18:16:30	2026-01-15 18:27:35	terminada
5688	3570	2026-01-15 16:17:59	2026-01-15 16:19:31	terminada
5690	3574	2026-01-15 14:44:47	2026-01-15 15:11:14	terminada
5696	3562	2026-01-15 20:27:15	2026-01-15 22:09:37	terminada
5699	3576	2026-01-16 18:11:03	2026-01-16 19:24:46	terminada
5704	3577	NULL	NULL	por iniciar
5707	3578	2026-01-16 19:31:39	2026-01-16 19:46:01	terminada
5711	3580	NULL	NULL	por iniciar
5722	3583	2026-01-19 14:48:30	2026-01-19 15:34:15	terminada
5726	3582	NULL	NULL	por iniciar
5729	3584	2026-01-20 17:52:35	2026-01-20 19:05:20	terminada
5739	3591	2026-02-02 15:56:46	2026-02-04 17:51:37	terminada
5745	3596	2026-01-19 20:03:58	2026-01-19 20:19:40	terminada
5746	3593	2026-01-19 20:03:38	2026-01-19 20:18:56	terminada
5747	3597	2026-01-20 14:58:21	2026-01-28 18:50:46	terminada
5749	3600	2026-01-20 19:05:50	2026-01-20 19:59:14	terminada
5752	3599	2026-01-20 17:51:45	2026-01-20 18:32:05	terminada
5769	3579	2026-01-22 21:18:50	2026-01-23 19:09:15	terminada
5784	3603	2026-01-26 21:21:53	2026-02-04 17:51:45	terminada
5791	3605	2026-01-21 17:33:27	2026-01-22 21:01:18	terminada
5797	3556	2026-01-20 20:59:27	2026-01-20 21:09:33	terminada
5814	3612	2026-01-23 20:22:44	2026-01-26 14:19:45	terminada
5824	3608	2026-01-20 19:41:35	2026-01-20 19:50:20	terminada
5825	3604	2026-01-20 19:11:53	NULL	en curso
5834	3617	2026-01-21 17:30:06	2026-01-21 18:47:49	terminada
5839	3588	2026-01-23 18:22:13	2026-01-23 19:10:30	terminada
5844	3618	2026-01-21 19:38:36	2026-01-21 20:07:26	terminada
5853	3620	2026-01-23 18:34:00	2026-01-23 18:55:20	terminada
5859	3621	2026-01-22 17:55:47	2026-01-22 18:15:02	terminada
5862	3628	2026-01-22 17:20:37	2026-01-22 17:45:51	terminada
5868	3613	2026-01-22 20:14:36	2026-01-22 20:16:22	terminada
5874	3625	2026-01-23 18:33:24	2026-01-23 18:57:01	terminada
5880	3626	2026-01-26 21:22:06	2026-01-26 21:29:31	terminada
5884	3627	2026-01-23 18:32:08	2026-01-23 19:01:38	terminada
5897	3587	2026-01-28 19:21:28	2026-01-28 19:28:27	terminada
5904	3635	2026-01-23 19:00:24	NULL	en curso
5911	3636	2026-01-27 19:54:20	2026-01-27 20:19:09	terminada
5914	3637	NULL	NULL	por iniciar
5919	3605	2026-01-22 21:12:08	2026-01-22 21:12:32	terminada
5926	3638	2026-01-27 17:37:19	2026-01-28 18:54:02	terminada
5933	3645	2026-01-23 20:21:55	2026-01-23 20:45:49	terminada
5942	3648	2026-01-27 14:57:57	2026-01-27 17:27:43	terminada
5945	3594	2026-01-27 17:36:15	2026-01-27 17:50:18	terminada
5952	3647	2026-01-28 13:13:49	2026-01-29 11:57:16	terminada
5956	3650	2026-01-28 16:54:49	2026-01-29 09:01:39	terminada
5958	3653	NULL	NULL	por iniciar
5965	3656	2026-01-28 17:48:01	2026-01-28 19:34:18	terminada
5966	3656	2026-01-29 10:49:33	2026-01-29 10:50:14	terminada
5976	3661	2026-01-23 20:22:15	2026-01-23 20:47:08	terminada
5978	3662	NULL	NULL	por iniciar
5981	3663	2026-01-29 16:28:27	2026-01-29 16:30:16	terminada
5991	3667	2026-01-27 20:15:06	2026-01-27 20:21:55	terminada
5998	3671	2026-01-26 20:01:09	2026-01-27 19:08:59	terminada
6003	3672	2026-01-26 19:53:31	NULL	en curso
6006	3673	2026-01-26 19:53:12	2026-01-26 20:11:35	terminada
6011	3678	2026-01-29 16:52:36	2026-01-30 10:34:44	terminada
6017	3677	2026-01-29 12:05:27	2026-01-29 12:06:39	terminada
6024	3675	2026-01-30 14:09:34	2026-02-03 09:24:47	terminada
6030	3676	2026-01-29 16:51:14	2026-02-03 15:08:46	terminada
6040	3687	2026-01-27 19:54:35	2026-01-27 20:20:35	terminada
6044	3688	2026-02-03 14:59:41	2026-02-03 15:04:35	terminada
6052	3690	2026-01-27 19:53:59	2026-01-27 20:11:46	terminada
6060	3665	2026-01-27 17:35:43	2026-01-27 17:49:49	terminada
6068	3631	2026-01-29 15:01:08	2026-01-29 15:05:40	terminada
6077	3682	2026-01-27 21:04:01	NULL	en curso
6085	3684	2026-01-27 20:25:27	2026-01-27 20:26:03	terminada
6088	3700	2026-01-28 13:55:56	2026-01-28 17:52:54	terminada
6093	3702	2026-01-29 16:51:24	2026-01-29 17:05:23	terminada
6099	3703	2026-01-29 16:28:43	2026-01-29 16:37:39	terminada
6105	3705	2026-01-29 16:51:42	2026-01-30 10:36:59	terminada
6114	3639	2026-01-30 14:10:00	2026-01-30 15:27:25	terminada
6122	3708	2026-01-28 17:47:37	2026-01-28 16:56:10	terminada
