id,archivo,metodo,ruta,linea,fase,estado,detalle,fecha_verificacion
1,administration.php,GET,/administracion/dashboard-stats,15,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:30:53
2,ai.php,POST,/ai/chat,32,2-escritura-manual,PENDIENTE,,
3,ai.php,POST,/ai/chat-orden,117,2-escritura-manual,PENDIENTE,,
4,ai.php,POST,/ai/report,298,2-escritura-manual,PENDIENTE,,
5,ai.php,GET,/ai/status,378,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:30:54
6,assignments.php,GET,/asignacion/ordenes,12,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:30:56
7,assignments.php,GET,/asignacion/empleados/{orden},48,1-GET-auto,CODIGO_MUERTO_CANDIDATO,"columnas dep_responsable/dep_diseno/etc. NO existen en tabla ordenes en NINGUN entorno (mismo patron que /orden/asignacion/{id} ya eliminado). Cero uso real: 0 hits en app_multi/msg_ninesys/ninesys-cdn y 0 en logs de produccion. NO se corrige (no hay columnas reales que mapear) - candidato a eliminar, pendiente de autorizacion del usuario.",2026-07-13 14:42:56
8,assignments.php,POST,/asignacion/{orden}/{departamento}/{empleado},65,2-escritura-manual,PENDIENTE,,
9,assignments.php,POST,/asignacion/elimianr/{orden}/{departamento},119,2-escritura-manual,PENDIENTE,,
10,auth.php,POST,/login,10,2-escritura-manual,PENDIENTE,,
11,auth.php,GET,/refresh-session/{id},363,1-GET-auto,FALLO_RUTA,HTTP 404 (ruta no encontrada/metodo no permitido con params de prueba),2026-07-13 14:30:58
12,auth.php,POST,/verify-credentials,464,2-escritura-manual,PENDIENTE,,
13,buscar.php,GET,/buscar/{id}[/{email}],260,1-GET-auto,OMITIDO,requiere parametro no trivial (email u otro) para probar de forma segura,2026-07-13 14:30:58
14,catalogs.php,GET,/telas,11,1-GET-auto,CORREGIDO,ALTER TABLE catalogo_telas ADD COLUMN eliminado SMALLINT NOT NULL DEFAULT 0 en BD real 194 dev + actualizado ambos templates maestros (mysql y postgres). Verificado en vivo: HTTP 200 con eliminado=0.,2026-07-13 14:44:23
15,catalogs.php,GET,/catalogo-tintas,24,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:00
16,catalogs.php,POST,/catalogo-tintas,208,2-escritura-manual,PENDIENTE,,
17,catalogs.php,POST,/catalogo-tintas/{_id}/{nombre},232,2-escritura-manual,PENDIENTE,,
18,catalogs.php,POST,/catalogo-tintas/eliminar,248,2-escritura-manual,PENDIENTE,,
19,catalogs.php,GET,/catalogo-colores-tintas,265,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:01
20,catalogs.php,POST,/catalogo-colores-tintas,277,2-escritura-manual,PENDIENTE,,
21,catalogs.php,POST,/catalogo-colores-tintas/eliminar,303,2-escritura-manual,PENDIENTE,,
22,catalogs.php,POST,/catalogo-colores-tintas/{_id},319,2-escritura-manual,PENDIENTE,,
23,catalogs.php,GET,/catalogo-insumos-productos,341,1-GET-auto,OK,"HTTP 200, sin error embebido",2026-07-13 14:31:02
24,catalogs.php,POST,/catalogo-insumos-productos,353,2-escritura-manual,PENDIENTE,,
25,catalogs.php,POST,/telas,381,2-escritura-manual,PENDIENTE,,
26,catalogs.php,POST,/telas/{_id}/{tela},405,2-escritura-manual,PENDIENTE,,
27,catalogs.php,POST,/telas/eliminar,421,2-escritura-manual,PENDIENTE,,
28,catalogs.php,DELETE,/insumos-productos-asignados/{id_insumo},438,2-escritura-manual,PENDIENTE,,
29,catalogs.php,GET,/insumos-productos/{id_orden}/{id_departamento},452,1-GET-auto,CORREGIDO,"CAST(_id AS VARCHAR) = e.talla en rama pgsql (sizes._id integer vs ordenes_productos.talla varchar). Verificado en vivo: HTTP 200, [].",2026-07-13 14:48:29
