id,archivo,metodo,ruta,linea,hits_prod_10d,estado,detalle
212,manufacturing.php,POST,/reports/manufacturing-time,4092,2736,PENDIENTE,
197,manufacturing.php,POST,/lotes/activos,1877,2119,PENDIENTE,
183,manufacturing.php,POST,/registrar-paso-empleado,634,1431,PENDIENTE,
38,communications.php,POST,/ws/build-message,176,690,PENDIENTE,
362,products.php,POST,/lotes/empleados/reasignar,1365,665,PENDIENTE,
380,tables.php,POST,/ordenes/borrador,242,497,PENDIENTE,
228,orders.php,POST,/orden/actualizar-estado,158,397,PENDIENTE,
143,inventory.php,POST,/inventario-movimientos/empleados/update-insumo,1189,358,PENDIENTE,
36,communications.php,POST,/send-message,90,286,PENDIENTE,
231,orders.php,POST,/orden/abono,404,286,PENDIENTE,
10,auth.php,POST,/login,10,241,PENDIENTE,
340,products.php,PUT,/customers/{id}/{first_name}/{last_name}/{cedula}/{phone}/{email}/{billing_address},756,228,PENDIENTE,
181,manufacturing.php,POST,/empleados/tintas,538,206,PENDIENTE,
247,orders.php,POST,/ordenes/nueva/custom,2799,184,PENDIENTE,
184,manufacturing.php,POST,/lotes/empleados/eliminar,1181,171,PENDIENTE,
43,communications.php,POST,/send-message-produccion,667,162,PENDIENTE,
278,production.php,POST,/ordenes/actualizar-filas-batch,15,136,PENDIENTE,
386,upload.php,POST,/upload-order-detail-image,9,86,PENDIENTE,
137,inventory.php,POST,/insumos/editar,1011,40,PENDIENTE,
249,orders.php,POST,/comercializacion/revisiones-estatus/{estatus}/{id_revision}/{id_orden},3744,38,PENDIENTE,
246,orders.php,POST,/ordenes/nueva/custom/edit,2451,33,PENDIENTE,
81,designs.php,POST,/diseno/update-tipo,106,31,PENDIENTE,
98,designs.php,PUT,/disenos/asign/{id_orden}/{empleado},763,28,PENDIENTE,
26,catalogs.php,POST,/telas/{_id}/{tela},405,23,PENDIENTE,
292,production.php,POST,/produccion/reposicion,1380,22,PENDIENTE,
48,config.php,POST,/configuracion/monedas,137,20,PENDIENTE,
28,catalogs.php,DELETE,/insumos-productos-asignados/{id_insumo},438,19,PENDIENTE,
34,catalogs.php,POST,/insumos-productos,614,19,PENDIENTE,
289,production.php,POST,/reposicion/{id_reposicion}/excluir-departamento,962,19,PENDIENTE,
339,products.php,POST,/customers/{first_name}/{last_name}/{cedula}/{phone}/{email}/{address},713,18,PENDIENTE,
138,inventory.php,POST,/insumos/eliminar,1057,15,PENDIENTE,
196,manufacturing.php,POST,/lotes/{id}/finalizar-departamento,1610,11,PENDIENTE,
145,inventory.php,POST,/inventario-movimientos/update-prioridad,1651,10,PENDIENTE,
293,production.php,POST,/produccion/reposicion/final,1542,9,PENDIENTE,
171,manufacturing.php,POST,/lotes,20,7,PENDIENTE,
279,production.php,POST,/reposiciones/actualizar-filas-batch,69,7,PENDIENTE,
89,designs.php,POST,/disenador-asignado,334,6,PENDIENTE,
91,designs.php,POST,/disenos/nuevo-con-revision,464,6,PENDIENTE,
172,manufacturing.php,POST,/lotes/{id}/iniciar,79,6,PENDIENTE,
204,manufacturing.php,POST,/pausas,2802,5,PENDIENTE,
320,products.php,POST,/editar-producto,171,5,PENDIENTE,
381,tables.php,POST,/ordenes/guardadas/eliminar,268,5,PENDIENTE,
57,config.php,POST,/gastos/registros,663,3,PENDIENTE,
121,finance.php,POST,/otro-abono,620,3,PENDIENTE,
180,manufacturing.php,POST,/empleados/tareas,487,3,PENDIENTE,
25,catalogs.php,POST,/telas,381,2,PENDIENTE,
53,config.php,POST,/gastos,520,2,PENDIENTE,
106,employees.php,POST,/empleados/activacion,222,2,PENDIENTE,
136,inventory.php,POST,/insumos/nuevo,925,2,PENDIENTE,
263,payments.php,POST,/pagos/procesar-lote-pagos,222,2,PENDIENTE,
294,production.php,POST,/produccion/reposicion/eliminar,1576,2,PENDIENTE,
342,products.php,POST,/customers/nuevo,825,2,PENDIENTE,
32,catalogs.php,POST,/tiempos-de-produccion,552,1,PENDIENTE,
54,config.php,PUT,/gastos/{id},561,1,PENDIENTE,
108,employees.php,POST,/empleados/editar,345,1,PENDIENTE,
131,inventory.php,POST,/api/inventario/bulk-load,380,1,PENDIENTE,
227,orders.php,POST,/orden/previa-cancelacion,118,1,PENDIENTE,
262,payments.php,POST,/pagos/pagar-a-empleados,52,1,PENDIENTE,
319,products.php,POST,/products/lite,153,1,PENDIENTE,
331,products.php,POST,/customers/eliminar,613,1,PENDIENTE,
341,products.php,POST,/customers/edit1,805,1,PENDIENTE,
2,ai.php,POST,/ai/chat,32,0,PENDIENTE,
3,ai.php,POST,/ai/chat-orden,117,0,PENDIENTE,
4,ai.php,POST,/ai/report,298,0,PENDIENTE,
8,assignments.php,POST,/asignacion/{orden}/{departamento}/{empleado},65,0,PENDIENTE,
9,assignments.php,POST,/asignacion/elimianr/{orden}/{departamento},119,0,PENDIENTE,
12,auth.php,POST,/verify-credentials,464,0,PENDIENTE,
16,catalogs.php,POST,/catalogo-tintas,208,0,PENDIENTE,
17,catalogs.php,POST,/catalogo-tintas/{_id}/{nombre},232,0,PENDIENTE,
18,catalogs.php,POST,/catalogo-tintas/eliminar,248,0,PENDIENTE,
20,catalogs.php,POST,/catalogo-colores-tintas,277,0,PENDIENTE,
21,catalogs.php,POST,/catalogo-colores-tintas/eliminar,303,0,PENDIENTE,
22,catalogs.php,POST,/catalogo-colores-tintas/{_id},319,0,PENDIENTE,
24,catalogs.php,POST,/catalogo-insumos-productos,353,0,PENDIENTE,
27,catalogs.php,POST,/telas/eliminar,421,0,PENDIENTE,
33,catalogs.php,POST,/tiempos-de-produccion/usa-desperdicio,585,0,PENDIENTE,
35,communications.php,POST,/config/select-empleados,14,0,PENDIENTE,
39,communications.php,POST,/ws/build-message/interno,394,0,PENDIENTE,
40,communications.php,POST,/update-message,503,0,PENDIENTE,
42,communications.php,POST,/departamentos/editar/settings,574,0,PENDIENTE,
46,config.php,POST,/configuracion/admin/{id},11,0,PENDIENTE,
47,config.php,POST,/configuracion/empresa/{id},56,0,PENDIENTE,
49,config.php,POST,/configuracion/horario,211,0,PENDIENTE,
50,config.php,POST,/configuracion/personalizacion,291,0,PENDIENTE,
51,config.php,POST,/configuracion/gastos,388,0,PENDIENTE,
55,config.php,DELETE,/gastos/{id},597,0,PENDIENTE,
58,config.php,PUT,/gastos/registros/{id},712,0,PENDIENTE,
59,config.php,DELETE,/gastos/registros/{id},777,0,PENDIENTE,
63,config.php,POST,/config/multiplicador-precio,911,0,PENDIENTE,
65,crm.php,POST,/crm/oportunidades/nueva,63,0,PENDIENTE,
66,crm.php,PUT,/crm/oportunidades/estado,109,0,PENDIENTE,
70,crm.php,POST,/crm/notas/nueva,270,0,PENDIENTE,
72,crm.php,POST,/crm/soporte/nueva,323,0,PENDIENTE,
73,crm.php,PUT,/crm/soporte/estado,353,0,PENDIENTE,
74,crm.php,POST,/crm/campanas/enviar,380,0,PENDIENTE,
80,designs.php,POST,/disenos/link,90,0,PENDIENTE,
83,designs.php,POST,/disenos/parobacion-de-cliente,182,0,PENDIENTE,
84,designs.php,POST,/diseno/ajustes-y-personalizaciones,202,0,PENDIENTE,
88,designs.php,POST,/disenos/codigo,319,0,PENDIENTE,
99,designs.php,PUT,/disenos/close/{id_orden}/{empleado},826,0,PENDIENTE,
103,designs.php,DELETE,/disenos/images/{id_orden}/{image_name},996,0,PENDIENTE,
104,designs.php,POST,/disenos/imagen/{id_orden}/{id_diseno},1016,0,PENDIENTE,
107,employees.php,POST,/empleados/nuevo,240,0,PENDIENTE,
109,employees.php,POST,/empleados/eliminar,448,0,PENDIENTE,
111,employees.php,POST,/asistencias,503,0,PENDIENTE,
118,finance.php,POST,/cierre-de-caja-vendedor,391,0,PENDIENTE,
120,finance.php,POST,/retiro,522,0,PENDIENTE,
130,inventory.php,POST,/api/products/bulk-load,277,0,PENDIENTE,
141,inventory.php,POST,/inventario-movimientos/nuevo,1108,0,PENDIENTE,
142,inventory.php,POST,/inventario-movimientos/piezas-cortadas,1171,0,PENDIENTE,
144,inventory.php,POST,/inventario-movimientos/update-insumo,1587,0,PENDIENTE,
146,inventory.php,POST,/inventario-movimientos/eliminar,1669,0,PENDIENTE,
154,inventory.php,POST,/empleados/eficiencia,2094,0,PENDIENTE,
156,inventory.php,PATCH,/inventario/consumo/{id_movimiento},2227,0,PENDIENTE,
159,inventory.php,PUT,/api/inventario/remanentes/{id},2614,0,PENDIENTE,
160,inventory.php,DELETE,/api/inventario/remanentes/{id},2707,0,PENDIENTE,
166,inventory.php,POST,/api/inventario/carga-directa,3839,0,PENDIENTE,
168,machine_services.php,POST,/servicios-maquinas,60,0,PENDIENTE,
169,machine_services.php,PUT,/servicios-maquinas/{id},87,0,PENDIENTE,
170,machine_services.php,DELETE,/servicios-maquinas/{id},112,0,PENDIENTE,
173,manufacturing.php,POST,/lotes/{id}/terminar,155,0,PENDIENTE,
174,manufacturing.php,POST,/revision/nuevo,251,0,PENDIENTE,
175,manufacturing.php,POST,/revision/nuevo,323,0,PENDIENTE,
182,manufacturing.php,POST,/insumos/rendimiento,574,0,PENDIENTE,
185,manufacturing.php,POST,/lotes/empleados/reasignar_old,1219,0,PENDIENTE,
186,manufacturing.php,POST,/lotes/get-detalles,1300,0,PENDIENTE,
187,manufacturing.php,POST,/lotes/update/cantidad,1316,0,PENDIENTE,
188,manufacturing.php,POST,/lotes/update/prioridad,1379,0,PENDIENTE,
190,manufacturing.php,POST,/lotes-fisicos/tabla-editar-filter,1430,0,PENDIENTE,
191,manufacturing.php,POST,/lotes-fisicos/eliminar,1480,0,PENDIENTE,
192,manufacturing.php,POST,/lotes-fisicos/update,1499,0,PENDIENTE,
198,manufacturing.php,POST,/lotes/{id}/finalizar-impresion,1978,0,PENDIENTE,
199,manufacturing.php,POST,/lotes/{id}/finalizar-corte,2161,0,PENDIENTE,
200,manufacturing.php,POST,/empleados/registrar-paso/{tipo}/{departamento}/{id_lotes_detalles}/{unidades},2420,0,PENDIENTE,
201,manufacturing.php,POST,/empleados/registrar-paso-por-lotes/{departamento},2575,0,PENDIENTE,
223,msg_service.php,POST,/internal/cliente/{id_empresa},925,0,PENDIENTE,
224,msg_service.php,PATCH,/internal/presupuesto/{id_presupuesto}/vendedor,1032,0,PENDIENTE,
226,orders.php,POST,/orden/editar,14,0,PENDIENTE,
232,orders.php,POST,/orden/edit/obs,615,0,PENDIENTE,
241,orders.php,POST,/ordenes/nueva,1831,0,PENDIENTE,
242,orders.php,POST,/presupuesto/nuevo,2149,0,PENDIENTE,
245,orders.php,POST,/ordenes/actualizar-fila,2432,0,PENDIENTE,
248,orders.php,POST,/ordenes/nueva/sport,3457,0,PENDIENTE,
250,orders.php,POST,/comercializacion/revisiones-detalles/{id_revision},3885,0,PENDIENTE,
252,orders.php,POST,/reposiciones/actualizar-fila,3930,0,PENDIENTE,
254,orders.php,POST,/ordenes/materiales-lote,3975,0,PENDIENTE,
255,orders.php,POST,/ordenes/nueva/simple,4037,0,PENDIENTE,
256,orders.php,POST,/ordenes/validar-stock,4421,0,PENDIENTE,
257,orders.php,POST,/ordenes/prevalidar,4476,0,PENDIENTE,
258,orders.php,POST,/ordenes/validar-paso,4738,0,PENDIENTE,
